# compare_route_source.py の出力。map_configs/l_map.json(L字合成地図)の技術確認用、pdr_log_0410_1535/0414_0902/0414_0940/0624_14.csv対象(kanri_4f.jsonのexclude_csv)、seed=42のみ×4条件。L字マップは部屋がなく空間制約の効果を測定できないため第二検証環境として不採用(memo/route_source_auto.md参照)。
seed,condition,file,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
42,none,pdr_log_0410_1535.csv,25,6,0.151,1.0,40.7,69.6,388.5,617.0,
42,none,pdr_log_0414_0902.csv,21,6,0.117,1.0,38.2,122.7,389.5,618.2,
42,none,pdr_log_0414_0940.csv,23,9,0.382,1.0,141.4,143.5,373.2,471.9,
42,none,pdr_log_0624_14.csv,21,7,0.082,1.0,29.0,104.1,389.2,616.3,
42,manual-enforce,pdr_log_0410_1535.csv,25,7,0.384,0.537,129.6,120.1,383.3,617.5,
42,manual-enforce,pdr_log_0414_0902.csv,21,6,0.312,0.432,137.2,174.4,383.2,615.9,
42,manual-enforce,pdr_log_0414_0940.csv,23,8,0.44,0.484,154.2,153.7,375.5,524.6,
42,manual-enforce,pdr_log_0624_14.csv,21,6,0.287,0.452,134.1,189.1,383.2,619.0,
42,auto-enforce,pdr_log_0410_1535.csv,25,6,0.151,0.169,40.7,69.6,388.5,617.0,
42,auto-enforce,pdr_log_0414_0902.csv,21,6,0.117,0.132,38.2,122.7,389.5,618.2,
42,auto-enforce,pdr_log_0414_0940.csv,23,9,0.382,0.411,141.4,143.5,373.2,471.9,
42,auto-enforce,pdr_log_0624_14.csv,21,7,0.082,0.094,29.0,104.1,389.2,616.3,
42,auto-enforce-unc,pdr_log_0410_1535.csv,25,6,0.177,0.195,62.0,83.3,392.7,617.1,
42,auto-enforce-unc,pdr_log_0414_0902.csv,21,6,0.1,0.11,42.0,114.6,389.5,620.8,
42,auto-enforce-unc,pdr_log_0414_0940.csv,23,9,0.44,0.458,141.8,141.2,371.1,471.0,
42,auto-enforce-unc,pdr_log_0624_14.csv,21,6,0.107,0.119,49.3,115.9,390.7,620.5,
