# pdr_pf_improved.py 複数経路仮説PFの交差点分岐選択(choose_branch_by_heading、pdr_route_graph.py、2026-08-30実装)の重み広がりσ(--multi-hypothesis-branch-heading-sigma-deg)を10/20/30(既定)/45/60度で振った比較。map_configs/kanri_4f.json、route_source=auto+auto_route_exclude_wide_rooms、route_constraint_mode=none(既定、明示指定なし)、pdr_log_0805_1438/1441/1442.csv対象、seed={1,7,42,100,777,2024}。baseline行は2026-08-30の変更前(完全一様乱択、np.random.randint)の値。結論: 1438はsigma>=20でどの値でも終点xの範囲(6シード間)が7.9pxに収束し安定(旧来の外れ値722.9pxが解消)。1441はsigma=10(ほぼ決定論的)でも159.2pxとむしろ悪化し、単純なsigma調整では改善しないことを確認(分岐点到達時の単発ステップ方位がセンサーノイズの影響を受けやすいことが原因と推定、詳細はCHANGELOG.md 2026-08-30項参照)。1442はsigma=30でのみ43.4pxと改善し他のsigmaでは変更前より悪化しており、6シードでは判断材料として不十分。
condition,seed,file,final_x,final_y
baseline,1,pdr_log_0805_1438.csv,481.2,252.5
baseline,1,pdr_log_0805_1441.csv,353.7,312.0
baseline,1,pdr_log_0805_1442.csv,413.5,159.0
baseline,7,pdr_log_0805_1438.csv,481.3,264.6
baseline,7,pdr_log_0805_1441.csv,429.1,194.5
baseline,7,pdr_log_0805_1442.csv,435.3,174.5
baseline,42,pdr_log_0805_1438.csv,722.9,171.5
baseline,42,pdr_log_0805_1441.csv,415.1,199.9
baseline,42,pdr_log_0805_1442.csv,469.6,124.4
baseline,100,pdr_log_0805_1438.csv,480.9,263.9
baseline,100,pdr_log_0805_1441.csv,421.7,200.5
baseline,100,pdr_log_0805_1442.csv,385.8,166.5
baseline,777,pdr_log_0805_1438.csv,476.1,268.0
baseline,777,pdr_log_0805_1441.csv,420.3,199.3
baseline,777,pdr_log_0805_1442.csv,437.4,147.8
baseline,2024,pdr_log_0805_1438.csv,484.0,261.1
baseline,2024,pdr_log_0805_1441.csv,421.7,199.3
baseline,2024,pdr_log_0805_1442.csv,421.1,158.6
sigma10,1,pdr_log_0805_1438.csv,423.5,208.3
sigma10,1,pdr_log_0805_1441.csv,419.1,206.1
sigma10,1,pdr_log_0805_1442.csv,517.0,210.5
sigma10,7,pdr_log_0805_1438.csv,481.3,264.6
sigma10,7,pdr_log_0805_1441.csv,322.8,287.5
sigma10,7,pdr_log_0805_1442.csv,524.1,183.5
sigma10,42,pdr_log_0805_1438.csv,483.0,266.4
sigma10,42,pdr_log_0805_1441.csv,260.7,313.6
sigma10,42,pdr_log_0805_1442.csv,415.5,206.0
sigma10,100,pdr_log_0805_1438.csv,480.9,263.9
sigma10,100,pdr_log_0805_1441.csv,259.9,313.4
sigma10,100,pdr_log_0805_1442.csv,524.6,182.6
sigma10,777,pdr_log_0805_1438.csv,476.1,268.0
sigma10,777,pdr_log_0805_1441.csv,270.3,310.4
sigma10,777,pdr_log_0805_1442.csv,531.7,181.8
sigma10,2024,pdr_log_0805_1438.csv,484.0,261.1
sigma10,2024,pdr_log_0805_1441.csv,272.7,305.4
sigma10,2024,pdr_log_0805_1442.csv,484.5,256.0
sigma20,1,pdr_log_0805_1438.csv,480.3,138.0
sigma20,1,pdr_log_0805_1441.csv,259.7,312.2
sigma20,1,pdr_log_0805_1442.csv,523.7,184.3
sigma20,7,pdr_log_0805_1438.csv,481.3,264.6
sigma20,7,pdr_log_0805_1441.csv,322.8,287.5
sigma20,7,pdr_log_0805_1442.csv,524.1,183.5
sigma20,42,pdr_log_0805_1438.csv,483.0,266.4
sigma20,42,pdr_log_0805_1441.csv,260.7,313.6
sigma20,42,pdr_log_0805_1442.csv,415.5,206.0
sigma20,100,pdr_log_0805_1438.csv,480.9,263.9
sigma20,100,pdr_log_0805_1441.csv,259.9,313.4
sigma20,100,pdr_log_0805_1442.csv,534.1,183.6
sigma20,777,pdr_log_0805_1438.csv,476.1,268.0
sigma20,777,pdr_log_0805_1441.csv,270.3,310.4
sigma20,777,pdr_log_0805_1442.csv,531.7,181.8
sigma20,2024,pdr_log_0805_1438.csv,484.0,261.1
sigma20,2024,pdr_log_0805_1441.csv,272.7,305.4
sigma20,2024,pdr_log_0805_1442.csv,484.5,256.0
sigma30,1,pdr_log_0805_1438.csv,500.2,153.3
sigma30,1,pdr_log_0805_1441.csv,482.4,264.0
sigma30,1,pdr_log_0805_1442.csv,526.7,182.7
sigma30,7,pdr_log_0805_1438.csv,481.3,264.6
sigma30,7,pdr_log_0805_1441.csv,322.8,287.5
sigma30,7,pdr_log_0805_1442.csv,526.2,180.3
sigma30,42,pdr_log_0805_1438.csv,483.0,266.4
sigma30,42,pdr_log_0805_1441.csv,260.7,313.6
sigma30,42,pdr_log_0805_1442.csv,499.1,134.6
sigma30,100,pdr_log_0805_1438.csv,480.9,263.9
sigma30,100,pdr_log_0805_1441.csv,259.9,313.4
sigma30,100,pdr_log_0805_1442.csv,483.3,263.3
sigma30,777,pdr_log_0805_1438.csv,476.1,268.0
sigma30,777,pdr_log_0805_1441.csv,270.3,310.4
sigma30,777,pdr_log_0805_1442.csv,507.0,132.9
sigma30,2024,pdr_log_0805_1438.csv,484.0,261.1
sigma30,2024,pdr_log_0805_1441.csv,272.7,305.4
sigma30,2024,pdr_log_0805_1442.csv,506.7,132.0
sigma45,1,pdr_log_0805_1438.csv,480.8,264.8
sigma45,1,pdr_log_0805_1441.csv,377.3,308.3
sigma45,1,pdr_log_0805_1442.csv,523.7,133.7
sigma45,7,pdr_log_0805_1438.csv,481.3,264.6
sigma45,7,pdr_log_0805_1441.csv,336.8,308.5
sigma45,7,pdr_log_0805_1442.csv,511.4,135.1
sigma45,42,pdr_log_0805_1438.csv,481.6,253.1
sigma45,42,pdr_log_0805_1441.csv,406.8,211.3
sigma45,42,pdr_log_0805_1442.csv,486.6,123.7
sigma45,100,pdr_log_0805_1438.csv,480.9,263.9
sigma45,100,pdr_log_0805_1441.csv,427.0,192.0
sigma45,100,pdr_log_0805_1442.csv,508.0,122.1
sigma45,777,pdr_log_0805_1438.csv,476.1,268.0
sigma45,777,pdr_log_0805_1441.csv,414.3,194.6
sigma45,777,pdr_log_0805_1442.csv,482.1,121.0
sigma45,2024,pdr_log_0805_1438.csv,484.0,261.1
sigma45,2024,pdr_log_0805_1441.csv,486.6,262.3
sigma45,2024,pdr_log_0805_1442.csv,529.2,136.2
sigma60,1,pdr_log_0805_1438.csv,480.9,252.8
sigma60,1,pdr_log_0805_1441.csv,422.3,194.2
sigma60,1,pdr_log_0805_1442.csv,501.7,121.7
sigma60,7,pdr_log_0805_1438.csv,481.3,264.6
