# 20260830_180500版の再検証。前回はroute_constraint_mode=none(既定、経路帯制約が実質オフ)で計測してしまっていたミスを修正し、route_constraint_mode=enforceで正しく再測定した。map_configs/kanri_4f.json、route_source=auto+auto_route_exclude_wide_rooms、pdr_log_0805_1438/1441/1442.csv対象、seed={1,7,42,100,777,2024}。uniform_equiv=sigma=100000度(数学的に一様乱択と等価、2026-08-16実装時の完全一様乱択np.random.randintの代替)。ユーザーからの聞き取りで判明した正解経路(start(124,229)→turn1(420,230)→turn2(420,111)→end(800,114)、弧長795px)への横方向誤差・弧長進捗をCHANGELOG.md 2026-08-30(3)項で分析。結論: uniform_equivが1442で横方向誤差11.4px・弧長484±7.2px・全滅0回と最良、1441でも横方向誤差11.0px・弧長195.6±7.4pxと極めて安定。方位重み付け(sigma10〜60)はいずれの条件でもuniform_equivを明確には上回らず、1438では横方向誤差が悪化(sigma10/20で35px台)。方位重み付け分岐選択は現時点で明確な改善効果が確認できていない。
condition,seed,file,x,y,extinctions
uniform_equiv,1,pdr_log_0805_1438.csv,347.5,240.4,2
uniform_equiv,1,pdr_log_0805_1441.csv,312.9,241.2,3
uniform_equiv,1,pdr_log_0805_1442.csv,495.6,122.0,0
uniform_equiv,7,pdr_log_0805_1438.csv,322.9,237.2,2
uniform_equiv,7,pdr_log_0805_1441.csv,308.8,240.6,3
uniform_equiv,7,pdr_log_0805_1442.csv,491.0,120.6,0
uniform_equiv,42,pdr_log_0805_1438.csv,433.2,158.3,2
uniform_equiv,42,pdr_log_0805_1441.csv,319.8,241.9,3
uniform_equiv,42,pdr_log_0805_1442.csv,478.3,121.8,0
uniform_equiv,100,pdr_log_0805_1438.csv,298.0,236.5,2
uniform_equiv,100,pdr_log_0805_1441.csv,318.6,238.5,4
uniform_equiv,100,pdr_log_0805_1442.csv,482.4,121.8,0
uniform_equiv,777,pdr_log_0805_1438.csv,281.8,238.2,2
uniform_equiv,777,pdr_log_0805_1441.csv,330.1,241.4,3
uniform_equiv,777,pdr_log_0805_1442.csv,487.0,124.2,0
uniform_equiv,2024,pdr_log_0805_1438.csv,303.6,237.9,2
uniform_equiv,2024,pdr_log_0805_1441.csv,327.2,240.1,3
uniform_equiv,2024,pdr_log_0805_1442.csv,499.1,127.1,0
sigma10,1,pdr_log_0805_1438.csv,506.2,132.8,3
sigma10,1,pdr_log_0805_1441.csv,396.0,213.9,2
sigma10,1,pdr_log_0805_1442.csv,515.9,144.0,3
sigma10,7,pdr_log_0805_1438.csv,431.5,140.6,3
sigma10,7,pdr_log_0805_1441.csv,309.9,241.1,3
sigma10,7,pdr_log_0805_1442.csv,530.8,144.5,2
sigma10,42,pdr_log_0805_1438.csv,543.7,179.7,2
sigma10,42,pdr_log_0805_1441.csv,423.4,212.8,2
sigma10,42,pdr_log_0805_1442.csv,417.3,207.4,3
sigma10,100,pdr_log_0805_1438.csv,425.8,216.2,4
sigma10,100,pdr_log_0805_1441.csv,334.2,240.7,3
sigma10,100,pdr_log_0805_1442.csv,428.4,183.8,4
sigma10,777,pdr_log_0805_1438.csv,290.2,238.4,2
sigma10,777,pdr_log_0805_1441.csv,421.4,213.9,2
sigma10,777,pdr_log_0805_1442.csv,416.4,206.9,3
sigma10,2024,pdr_log_0805_1438.csv,557.9,208.2,4
sigma10,2024,pdr_log_0805_1441.csv,287.1,241.3,3
sigma10,2024,pdr_log_0805_1442.csv,433.8,173.8,3
sigma20,1,pdr_log_0805_1438.csv,484.0,153.5,3
sigma20,1,pdr_log_0805_1441.csv,321.1,239.6,3
sigma20,1,pdr_log_0805_1442.csv,430.4,187.9,3
sigma20,7,pdr_log_0805_1438.csv,487.0,146.8,4
sigma20,7,pdr_log_0805_1441.csv,425.6,193.3,1
sigma20,7,pdr_log_0805_1442.csv,429.6,189.4,4
sigma20,42,pdr_log_0805_1438.csv,651.2,125.2,1
sigma20,42,pdr_log_0805_1441.csv,326.9,238.7,4
sigma20,42,pdr_log_0805_1442.csv,500.0,134.2,0
sigma20,100,pdr_log_0805_1438.csv,514.4,125.6,3
sigma20,100,pdr_log_0805_1441.csv,302.7,236.5,4
sigma20,100,pdr_log_0805_1442.csv,429.9,193.5,4
sigma20,777,pdr_log_0805_1438.csv,290.2,238.4,2
sigma20,777,pdr_log_0805_1441.csv,368.0,239.3,1
sigma20,777,pdr_log_0805_1442.csv,494.6,133.8,0
sigma20,2024,pdr_log_0805_1438.csv,565.3,211.0,4
sigma20,2024,pdr_log_0805_1441.csv,325.2,239.4,3
sigma20,2024,pdr_log_0805_1442.csv,417.8,207.0,3
sigma30,1,pdr_log_0805_1438.csv,499.9,154.8,4
sigma30,1,pdr_log_0805_1441.csv,326.6,239.4,4
sigma30,1,pdr_log_0805_1442.csv,529.3,135.9,0
sigma30,7,pdr_log_0805_1438.csv,393.3,229.7,2
sigma30,7,pdr_log_0805_1441.csv,301.5,241.3,3
sigma30,7,pdr_log_0805_1442.csv,496.2,132.2,0
sigma30,42,pdr_log_0805_1438.csv,417.9,216.9,1
sigma30,42,pdr_log_0805_1441.csv,332.6,240.5,3
sigma30,42,pdr_log_0805_1442.csv,530.6,136.0,0
