# 初期方位校正方式(samples=先頭30サンプル / walking=歩行開始10歩)の6シード比較。
# 条件: --route-source auto --route-constraint-mode enforce --heading-source android、
#       seeds=1,7,42,100,777,2024、2026-09-02の上流修正(CHANGELOG 2026-09-02(1)〜(3))適用後、
#       ただしCSV独立シード化((5)項(a))の適用前に取得したもの。
# lateral=正解経路(折れ線)への横方向誤差px、progress=折れ線上の弧長進捗px、total=経路全長px。
# 結果: 1441はwalkingで6シードすべて大幅改善(進捗17%->74%、全滅13.2->2.0)。1442は同等。
#       1438のみ悪化(進捗39%->0%)だが、これは1438の方位記録自体が経路と整合しないため
#       (memo/heading_calibration.md「1438は逆走だったのか」参照)。既定はsamplesのまま据え置き。
mode,seed,csv,ext,valid,x,y,lateral,progress,total
samples,1,pdr_log_0805_1438.csv,23,0.237,412.3,235.5,5.617532796914363,310.8654585592867,813.5139100564302
samples,1,pdr_log_0805_1441.csv,13,0.192,274.3,223.3,7.133016527109731,127.72102440563177,768.4011494229146
samples,1,pdr_log_0805_1442.csv,0,0.738,662.4,121.1,6.099999999999994,630.8011494229145,768.4011494229146
samples,7,pdr_log_0805_1438.csv,24,0.241,431.1,238.7,10.6254411673116,323.5139100564302,813.5139100564302
samples,7,pdr_log_0805_1441.csv,14,0.211,251.7,224.2,6.297962503511443,105.11853151706585,768.4011494229146
samples,7,pdr_log_0805_1442.csv,1,0.755,668.9,143.2,28.19999999999999,637.3011494229145,768.4011494229146
samples,42,pdr_log_0805_1438.csv,22,0.244,430.4,235.3,7.566372975210769,323.5139100564302,813.5139100564302
samples,42,pdr_log_0805_1441.csv,13,0.238,277.6,224.9,5.523540413491676,131.01641309889587,768.4011494229146
samples,42,pdr_log_0805_1442.csv,1,0.732,635.7,140.3,25.30000000000001,604.1011494229145,768.4011494229146
samples,100,pdr_log_0805_1438.csv,22,0.25,423.2,237.6,7.616364933335344,321.78446355472516,813.5139100564302
samples,100,pdr_log_0805_1441.csv,13,0.207,283.6,224.4,6.006297041036448,137.0178251026298,768.4011494229146
samples,100,pdr_log_0805_1442.csv,0,0.723,649.5,136.4,21.400000000000006,617.9011494229146,768.4011494229146
samples,777,pdr_log_0805_1438.csv,24,0.241,443.0,236.6,19.171854370404546,323.5139100564302,813.5139100564302
samples,777,pdr_log_0805_1441.csv,14,0.235,252.5,222.2,8.295655405113482,105.92427531684896,768.4011494229146
samples,777,pdr_log_0805_1442.csv,0,0.738,663.5,116.3,1.2999999999999972,631.9011494229146,768.4011494229146
samples,2024,pdr_log_0805_1438.csv,22,0.233,450.4,239.8,27.224988521576993,323.5139100564302,813.5139100564302
samples,2024,pdr_log_0805_1441.csv,12,0.221,302.8,222.7,7.651117836314094,156.22263086971378,768.4011494229146
samples,2024,pdr_log_0805_1442.csv,0,0.72,662.6,115.4,0.4000000000000057,631.0011494229145,768.4011494229146
walking,1,pdr_log_0805_1438.csv,6,0.391,36.1,235.8,65.9893930870712,0.0,813.5139100564302
walking,1,pdr_log_0805_1441.csv,2,0.711,600.8,107.3,7.700000000000003,569.2011494229146,768.4011494229146
walking,1,pdr_log_0805_1442.csv,0,0.759,658.9,115.8,0.7999999999999972,627.3011494229145,768.4011494229146
walking,7,pdr_log_0805_1438.csv,6,0.379,34.2,235.1,67.78569170555096,0.0,813.5139100564302
walking,7,pdr_log_0805_1441.csv,2,0.726,611.0,109.5,5.5,579.4011494229146,768.4011494229146
walking,7,pdr_log_0805_1442.csv,0,0.73,647.5,135.4,20.400000000000006,615.9011494229146,768.4011494229146
walking,42,pdr_log_0805_1438.csv,5,0.381,32.6,238.5,69.85313164060722,0.0,813.5139100564302
walking,42,pdr_log_0805_1441.csv,2,0.726,605.1,110.1,4.900000000000006,573.5011494229146,768.4011494229146
walking,42,pdr_log_0805_1442.csv,1,0.748,660.4,142.4,27.400000000000006,628.8011494229145,768.4011494229146
walking,100,pdr_log_0805_1438.csv,5,0.383,34.7,237.6,67.6357893426254,0.0,813.5139100564302
walking,100,pdr_log_0805_1441.csv,2,0.717,600.9,110.3,4.700000000000003,569.3011494229145,768.4011494229146
walking,100,pdr_log_0805_1442.csv,0,0.725,665.2,116.2,1.2000000000000028,633.6011494229145,768.4011494229146
walking,777,pdr_log_0805_1438.csv,5,0.381,32.6,238.9,69.92009725393694,0.0,813.5139100564302
walking,777,pdr_log_0805_1441.csv,2,0.737,591.8,109.3,5.700000000000003,560.2011494229146,768.4011494229146
walking,777,pdr_log_0805_1442.csv,1,0.756,640.2,139.4,24.400000000000006,608.6011494229145,768.4011494229146
walking,2024,pdr_log_0805_1438.csv,6,0.396,35.2,234.4,66.7116931279667,0.0,813.5139100564302
walking,2024,pdr_log_0805_1441.csv,2,0.72,595.2,109.1,5.900000000000006,563.6011494229147,768.4011494229146
walking,2024,pdr_log_0805_1442.csv,0,0.752,668.2,132.0,17.0,636.6011494229145,768.4011494229146
