# 2026-09-02の上流修正(CHANGELOG 2026-09-02(1)〜(7))をすべて適用した後の、compare_route_source.pyによる
# 初回の条件比較(seed=42のみ)。方位源はスクリプト既定のandroid、初期方位校正は既定のsamples。
# 【重要】この実行から、--target-distance-px(既定815px)による総距離の強制が無くなった。
#   過去のroute_source_comparison系CSVはすべて距離を815pxへ合わせ込んだ条件で測っており、
#   本ファイルとは条件が異なるため直接比較できない(CHANGELOG 2026-09-02(7)項)。
# 卒論用の主結果を出す際は、6シードで取り直し、初期方位校正方式の扱いも決めたうえで実施すること。
seed,condition,file,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
42,none,pdr_log_0805_1438.csv,105,15,0.385,1.0,227.0,102.5,374.3,309.0,425.7
42,none,pdr_log_0805_1441.csv,79,10,0.303,1.0,165.9,83.8,303.2,138.0,496.8
42,none,pdr_log_0805_1442.csv,76,7,0.562,1.0,300.1,84.4,485.1,261.9,314.9
42,manual-enforce,pdr_log_0805_1438.csv,105,15,0.267,0.896,151.0,52.1,587.6,107.6,212.39999999999998
42,manual-enforce,pdr_log_0805_1441.csv,79,8,0.391,0.791,168.7,36.9,479.1,107.6,320.9
42,manual-enforce,pdr_log_0805_1442.csv,76,5,0.59,0.9,290.9,70.1,567.0,108.2,233.0
42,auto-enforce,pdr_log_0805_1438.csv,105,24,0.245,0.356,142.8,66.2,397.9,237.7,402.1
42,auto-enforce,pdr_log_0805_1441.csv,79,14,0.212,0.338,109.8,62.0,260.1,223.5,539.9
42,auto-enforce,pdr_log_0805_1442.csv,76,0,0.708,0.786,363.9,59.4,643.3,134.7,156.70000000000005
42,auto-enforce-unc,pdr_log_0805_1438.csv,105,24,0.242,0.354,153.8,80.7,420.1,240.2,379.9
42,auto-enforce-unc,pdr_log_0805_1441.csv,79,13,0.207,0.34,130.2,68.5,264.6,223.4,535.4
42,auto-enforce-unc,pdr_log_0805_1442.csv,76,1,0.737,0.779,305.1,90.4,666.1,142.2,133.89999999999998
