heading_mode,sigma,seed,file,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
walking,90.0,1,pdr_log_0805_1438.csv,105,1,0.667,0.705,322.4,82.0,51.1,228.0,748.9
walking,90.0,1,pdr_log_0805_1441.csv,79,0,0.813,0.824,314.7,297.6,644.3,106.1,155.70000000000005
walking,90.0,1,pdr_log_0805_1442.csv,76,0,0.827,0.846,324.6,247.0,676.2,123.1,123.79999999999995
walking,90.0,7,pdr_log_0805_1438.csv,105,1,0.655,0.703,319.6,112.7,53.4,229.3,746.6
walking,90.0,7,pdr_log_0805_1441.csv,79,0,0.819,0.827,315.1,384.8,644.6,105.4,155.39999999999998
walking,90.0,7,pdr_log_0805_1442.csv,76,0,0.827,0.852,326.3,336.5,676.0,121.3,124.0
walking,90.0,42,pdr_log_0805_1438.csv,105,1,0.652,0.702,312.1,122.9,56.4,232.1,743.6
walking,90.0,42,pdr_log_0805_1441.csv,79,0,0.822,0.83,318.1,312.2,635.0,120.1,165.0
walking,90.0,42,pdr_log_0805_1442.csv,76,0,0.816,0.845,325.3,261.2,658.9,122.6,141.10000000000002
walking,90.0,100,pdr_log_0805_1438.csv,105,0,0.765,0.792,337.5,132.1,58.3,233.3,741.7
walking,90.0,100,pdr_log_0805_1441.csv,79,0,0.821,0.832,317.1,282.9,640.1,105.7,159.89999999999998
walking,90.0,100,pdr_log_0805_1442.csv,76,0,0.813,0.837,321.4,796.8,680.5,121.0,119.5
walking,90.0,777,pdr_log_0805_1438.csv,105,1,0.653,0.696,311.9,92.4,55.9,230.0,744.1
walking,90.0,777,pdr_log_0805_1441.csv,79,0,0.808,0.822,316.5,310.9,633.0,111.8,167.0
walking,90.0,777,pdr_log_0805_1442.csv,76,0,0.827,0.85,324.4,356.0,674.2,120.8,125.79999999999995
walking,90.0,2024,pdr_log_0805_1438.csv,105,0,0.738,0.788,332.0,248.5,52.0,228.6,748.0
walking,90.0,2024,pdr_log_0805_1441.csv,79,0,0.819,0.837,319.7,191.3,640.2,108.9,159.79999999999995
walking,90.0,2024,pdr_log_0805_1442.csv,76,0,0.809,0.834,318.4,347.2,667.1,123.3,132.89999999999998
walking,120.0,1,pdr_log_0805_1438.csv,105,0,0.741,0.771,339.7,202.1,49.8,228.8,750.2
walking,120.0,1,pdr_log_0805_1441.csv,79,0,0.817,0.82,320.4,723.1,587.9,106.1,212.10000000000002
walking,120.0,1,pdr_log_0805_1442.csv,76,0,0.813,0.831,318.0,769.4,679.4,121.6,120.60000000000002
walking,120.0,7,pdr_log_0805_1438.csv,105,0,0.745,0.784,339.2,205.1,53.8,229.2,746.2
walking,120.0,7,pdr_log_0805_1441.csv,79,0,0.821,0.832,322.4,383.0,637.1,107.0,162.89999999999998
walking,120.0,7,pdr_log_0805_1442.csv,76,0,0.823,0.843,325.3,677.8,669.8,118.9,130.20000000000005
walking,120.0,42,pdr_log_0805_1438.csv,105,0,0.737,0.78,333.4,292.8,55.1,228.0,744.9
walking,120.0,42,pdr_log_0805_1441.csv,79,0,0.81,0.823,319.4,571.9,608.4,107.2,191.60000000000002
walking,120.0,42,pdr_log_0805_1442.csv,76,0,0.824,0.841,324.2,314.0,675.5,121.0,124.5
walking,120.0,100,pdr_log_0805_1438.csv,105,0,0.743,0.785,336.6,319.8,50.2,228.7,749.8
walking,120.0,100,pdr_log_0805_1441.csv,79,0,0.816,0.817,321.2,412.7,646.7,105.7,153.29999999999995
walking,120.0,100,pdr_log_0805_1442.csv,76,0,0.82,0.844,328.7,719.8,685.1,117.1,114.89999999999998
walking,120.0,777,pdr_log_0805_1438.csv,105,0,0.744,0.776,339.3,220.8,56.9,222.4,743.1
walking,120.0,777,pdr_log_0805_1441.csv,79,0,0.823,0.829,323.3,543.0,635.7,118.8,164.29999999999995
walking,120.0,777,pdr_log_0805_1442.csv,76,0,0.823,0.836,323.8,618.3,670.8,123.7,129.20000000000005
walking,120.0,2024,pdr_log_0805_1438.csv,105,0,0.747,0.793,344.8,183.7,56.4,229.6,743.6
walking,120.0,2024,pdr_log_0805_1441.csv,79,0,0.811,0.82,319.6,431.3,642.1,106.9,157.89999999999998
