method_key,file,方式,n,全滅回数 平均±標準偏差,extinctions_mean,extinctions_std,最終位置x[px] 平均±標準偏差,final_x_mean,final_x_std,最終位置y[px] 平均±標準偏差,final_y_mean,final_y_std
A_pdr,pdr_log_0805_1438.csv,PDRのみ,1,,,,-31.5,-31.5199,,586.3,586.2963,
A_pdr,pdr_log_0805_1441.csv,PDRのみ,1,,,,607.0,606.9767,,31.2,31.2169,
A_pdr,pdr_log_0805_1442.csv,PDRのみ,1,,,,671.6,671.6053,,196.0,195.9814,
B_fixed,pdr_log_0805_1438.csv,固定粒子数PF,6,10.2 ± 0.8,10.1667,0.7528,35.6 ± 2.6,35.6167,2.5701,309.1 ± 2.2,309.0500,2.2260
B_fixed,pdr_log_0805_1441.csv,固定粒子数PF,6,0.0 ± 0.0,0.0000,0.0000,608.3 ± 14.3,608.3167,14.3080,63.3 ± 21.5,63.3167,21.5308
B_fixed,pdr_log_0805_1442.csv,固定粒子数PF,6,3.3 ± 3.4,3.3333,3.4448,566.1 ± 95.4,566.0500,95.3686,180.3 ± 44.5,180.2833,44.4735
C_adaptive,pdr_log_0805_1438.csv,移動様態適応PF,6,10.5 ± 1.2,10.5000,1.2247,34.6 ± 2.7,34.6500,2.6569,308.7 ± 1.4,308.6833,1.4483
C_adaptive,pdr_log_0805_1441.csv,移動様態適応PF,6,0.0 ± 0.0,0.0000,0.0000,610.6 ± 4.4,610.6333,4.4352,51.2 ± 2.7,51.1833,2.7073
C_adaptive,pdr_log_0805_1442.csv,移動様態適応PF,6,1.5 ± 0.8,1.5000,0.8367,653.8 ± 18.5,653.8167,18.4935,159.6 ± 19.5,159.5833,19.5073
E_proposed,pdr_log_0805_1438.csv,提案方式,6,5.3 ± 0.5,5.3333,0.5164,35.9 ± 1.3,35.8833,1.2891,235.5 ± 2.4,235.4833,2.3920
E_proposed,pdr_log_0805_1441.csv,提案方式,6,1.8 ± 0.4,1.8333,0.4082,602.1 ± 5.2,602.1500,5.1949,108.5 ± 1.6,108.5333,1.6391
E_proposed,pdr_log_0805_1442.csv,提案方式,6,0.2 ± 0.4,0.1667,0.4082,657.1 ± 13.7,657.0833,13.7305,127.3 ± 10.8,127.3000,10.8385
E_mh,pdr_log_0805_1438.csv,提案方式+複数経路仮説,6,0.0 ± 0.0,0.0000,0.0000,62.9 ± 12.0,62.9000,12.0092,228.0 ± 6.4,228.0500,6.3736
E_mh,pdr_log_0805_1441.csv,提案方式+複数経路仮説,6,0.0 ± 0.0,0.0000,0.0000,603.9 ± 45.7,603.9167,45.7450,106.8 ± 2.2,106.8000,2.1936
E_mh,pdr_log_0805_1442.csv,提案方式+複数経路仮説,6,0.0 ± 0.0,0.0000,0.0000,605.3 ± 35.9,605.2667,35.9483,136.7 ± 7.2,136.7000,7.1724
E_mh_bl,pdr_log_0805_1438.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,0.7 ± 0.5,0.6667,0.5164,54.5 ± 2.8,54.5167,2.7939,230.2 ± 2.1,230.2167,2.0721
E_mh_bl,pdr_log_0805_1441.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,0.0 ± 0.0,0.0000,0.0000,639.5 ± 4.7,639.5333,4.7412,109.7 ± 5.7,109.6667,5.6684
E_mh_bl,pdr_log_0805_1442.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,0.0 ± 0.0,0.0000,0.0000,672.1 ± 7.8,672.1500,7.8258,122.0 ± 1.1,122.0167,1.1125
E_rooms,pdr_log_0805_1438.csv,提案方式+広い部屋の除外,6,5.3 ± 0.5,5.3333,0.5164,35.9 ± 1.3,35.8833,1.2891,235.5 ± 2.4,235.4833,2.3920
E_rooms,pdr_log_0805_1441.csv,提案方式+広い部屋の除外,6,1.8 ± 0.4,1.8333,0.4082,602.1 ± 5.2,602.1500,5.1949,108.5 ± 1.6,108.5333,1.6391
E_rooms,pdr_log_0805_1442.csv,提案方式+広い部屋の除外,6,0.2 ± 0.4,0.1667,0.4082,655.9 ± 11.3,655.9167,11.2571,114.1 ± 0.5,114.1500,0.5050
E_centerline,pdr_log_0805_1438.csv,提案方式+中心線,6,5.3 ± 0.5,5.3333,0.5164,35.9 ± 1.3,35.8833,1.2891,235.5 ± 2.4,235.4833,2.3920
E_centerline,pdr_log_0805_1441.csv,提案方式+中心線,6,1.8 ± 0.4,1.8333,0.4082,602.1 ± 5.2,602.1500,5.1949,108.5 ± 1.6,108.5333,1.6391
E_centerline,pdr_log_0805_1442.csv,提案方式+中心線,6,0.2 ± 0.4,0.1667,0.4082,657.1 ± 13.7,657.0833,13.7305,127.3 ± 10.8,127.3000,10.8385
