note,condition,file,n_mean,extinction_mean,neff_ratio,valid_ratio,final_spread_px,final_x_mean,turning_ratio,run_sec
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",C_adaptive,pdr_log_0805_1438.csv,593.3000000000001,10.5,0.4134501938311141,0.4200000000000001,3.025998457809695,34.65,0.9809523809523808,2.696934461593628
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",C_adaptive,pdr_log_0805_1441.csv,533.5,0.0,0.7557325835676352,0.7685000000000001,5.196184497622575,610.6333333333333,0.810126582278481,2.696934461593628
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",C_adaptive,pdr_log_0805_1442.csv,553.9,1.5,0.6907684901004995,0.7181666666666667,26.880166170121296,653.8166666666667,0.8684210526315789,2.696934461593628
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",E_proposed,pdr_log_0805_1438.csv,727.25,5.333333333333333,0.2913446056575763,0.3813333333333333,2.717228980659028,35.88333333333333,0.9809523809523808,2.762770652770996
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",E_proposed,pdr_log_0805_1441.csv,438.5833333333333,1.8333333333333333,0.7200527877944589,0.7336666666666667,5.447354097786079,602.15,0.810126582278481,2.762770652770996
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",E_proposed,pdr_log_0805_1442.csv,470.3,0.1666666666666666,0.6724883348823062,0.747,17.49278899051453,657.0833333333334,0.8684210526315789,2.762770652770996
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed1000_straightnoise,pdr_log_0805_1438.csv,1000.0,12.666666666666666,0.4455166666666667,0.4461666666666666,2.47393074546022,35.46666666666666,0.9809523809523808,2.7208863894144693
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed1000_straightnoise,pdr_log_0805_1441.csv,1000.0,1.1666666666666667,0.8079833333333334,0.8101666666666666,15.40589713929915,616.2666666666667,0.810126582278481,2.7208863894144693
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed1000_straightnoise,pdr_log_0805_1442.csv,1000.0,6.166666666666667,0.5918,0.5929999999999999,85.67132736997443,552.6333333333333,0.8684210526315789,2.7208863894144693
"固定粒子数PFの模擬(全様態の粒子数・ノイズを同値にした一時JSON)。android+walking, route none, 連続壁尤度あり, 6シード(1,7,42,100,777,2024)。straightnoise=0.35px/3deg, turningnoise=0.7px/15deg。正解位置が無いため精度ではなく診断値",fixed1000_turningnoise,pdr_log_0805_1438.csv,1000.0,9.166666666666666,0.4010666666666667,0.4021666666666666,2.119119313928939,35.2,0.9809523809523808,2.7410713831583657
