note,heading_source,calibration_mode,seed,file,extinction,final_x,final_y,dist_to_endpoint_m
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,1,pdr_log_0805_1438.csv,24,362.6,236.3,39.82
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,1,pdr_log_0805_1441.csv,13,251.6,224.5,49.05
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,1,pdr_log_0805_1442.csv,0,650.5,136.8,13.25
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,100,pdr_log_0805_1438.csv,23,398.3,239.8,36.9
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,100,pdr_log_0805_1441.csv,13,301.1,225.4,44.82
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,100,pdr_log_0805_1442.csv,0,653.5,117.0,12.85
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,2024,pdr_log_0805_1438.csv,25,384.1,235.9,37.99
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,2024,pdr_log_0805_1441.csv,12,234.3,222.0,50.5
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,2024,pdr_log_0805_1442.csv,0,647.4,120.9,13.4
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,42,pdr_log_0805_1438.csv,24,420.1,240.2,35.09
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,42,pdr_log_0805_1441.csv,13,264.6,223.4,47.92
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,42,pdr_log_0805_1442.csv,1,666.1,142.2,11.99
"提案方式(auto-enforce+unc)で方位設定だけを変えた比較。dist_to_endpoint_mは正解経路の終点(800,115)までの距離で、RMSEではない代替指標",android,samples,7,pdr_log_0805_1438.csv,23,436.4,238.0,33.67
