注意,method_key,file,方式,n,mean_m,std_m
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",A_pdr,pdr_log_0805_1438.csv,PDRのみ,1,83.84,
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",A_pdr,pdr_log_0805_1441.csv,PDRのみ,1,18.46,
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",A_pdr,pdr_log_0805_1442.csv,PDRのみ,1,13.32,
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",B_fixed,pdr_log_0805_1438.csv,固定粒子数PF,6,69.17,0.08
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",B_fixed,pdr_log_0805_1441.csv,固定粒子数PF,6,17.49,1.39
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",B_fixed,pdr_log_0805_1442.csv,固定粒子数PF,6,19.02,6.84
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",C_adaptive,pdr_log_0805_1438.csv,移動様態適応PF,6,69.18,0.18
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",C_adaptive,pdr_log_0805_1441.csv,移動様態適応PF,6,17.53,0.36
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",C_adaptive,pdr_log_0805_1442.csv,移動様態適応PF,6,13.29,1.56
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_proposed,pdr_log_0805_1438.csv,提案方式,6,67.93,0.19
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_proposed,pdr_log_0805_1441.csv,提案方式,6,15.63,1.44
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_proposed,pdr_log_0805_1442.csv,提案方式,6,12.60,1.20
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh,pdr_log_0805_1438.csv,提案方式+複数経路仮説,6,65.42,0.97
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh,pdr_log_0805_1441.csv,提案方式+複数経路仮説,6,17.22,4.01
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh,pdr_log_0805_1442.csv,提案方式+複数経路仮説,6,17.19,3.20
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh_bl,pdr_log_0805_1438.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,65.88,0.41
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh_bl,pdr_log_0805_1441.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,14.09,0.41
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_mh_bl,pdr_log_0805_1442.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,11.23,0.69
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_rooms,pdr_log_0805_1438.csv,提案方式+広い部屋の除外,6,67.93,0.19
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_rooms,pdr_log_0805_1441.csv,提案方式+広い部屋の除外,6,15.63,1.44
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_rooms,pdr_log_0805_1442.csv,提案方式+広い部屋の除外,6,12.82,0.95
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_rooms_centerline,pdr_log_0805_1438.csv,提案方式+広い部屋の除外+中心線,6,35.03,0.16
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_rooms_centerline,pdr_log_0805_1441.csv,提案方式+広い部屋の除外+中心線,6,25.30,0.62
"代替指標(RMSEではない)。終点(800,115)は実測時に止まった位置の申告値(compare_route_source.pyと同じ根拠)。既存3本は評価用データではない",E_rooms_centerline,pdr_log_0805_1442.csv,提案方式+広い部屋の除外+中心線,6,17.72,1.65
