method_key,method,section,kind,file,route,group,seed,has_ground_truth,steps,extinctions,final_x,final_y,trajectory,rmse_m,mean_error_m,max_error_m,excluded_points,held_end_points
A_pdr,PDRのみ,7.1,main,pdr_log_0805_1438.csv,,h0,,False,105,,-31.51990674894509,586.2963228388783,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\A_pdr\pdr_log_0805_1438_pdr_traj_android-walking.csv,,,,,
A_pdr,PDRのみ,7.1,main,pdr_log_0805_1441.csv,,h0,,False,79,,606.9767224623173,31.216912805045364,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\A_pdr\pdr_log_0805_1441_pdr_traj_android-walking.csv,,,,,
A_pdr,PDRのみ,7.1,main,pdr_log_0805_1442.csv,,h0,,False,76,,671.6053326544202,195.98140970622435,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\A_pdr\pdr_log_0805_1442_pdr_traj_android-walking.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,1.0,False,105,10.0,36.2,309.5,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-1\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-1.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,7.0,False,105,8.0,38.4,314.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-7\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-7.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,42.0,False,105,11.0,34.9,310.8,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-42\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-42.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,100.0,False,105,10.0,36.0,309.2,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-100\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-100.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,777.0,False,105,12.0,35.5,307.6,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-777\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-777.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1438.csv,,h0,2024.0,False,105,9.0,36.0,314.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-2024\pdr_log_0805_1438_traj_none-manual_android-walking_pf-fixed600_seed-2024.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1441.csv,,h0,1.0,False,79,0.0,592.0,58.1,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-1\pdr_log_0805_1441_traj_none-manual_android-walking_pf-fixed600_seed-1.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1441.csv,,h0,7.0,False,79,0.0,619.1,50.9,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-7\pdr_log_0805_1441_traj_none-manual_android-walking_pf-fixed600_seed-7.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1441.csv,,h0,42.0,False,79,0.0,613.4,50.9,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-42\pdr_log_0805_1441_traj_none-manual_android-walking_pf-fixed600_seed-42.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1441.csv,,h0,100.0,False,79,0.0,625.3,106.8,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-100\pdr_log_0805_1441_traj_none-manual_android-walking_pf-fixed600_seed-100.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1441.csv,,h0,777.0,False,79,0.0,609.8,55.8,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-777\pdr_log_0805_1441_traj_none-manual_android-walking_pf-fixed600_seed-777.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1441.csv,,h0,2024.0,False,79,0.0,590.3,57.4,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-2024\pdr_log_0805_1441_traj_none-manual_android-walking_pf-fixed600_seed-2024.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1442.csv,,h0,1.0,False,76,6.0,484.9,226.6,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-1\pdr_log_0805_1442_traj_none-manual_android-walking_pf-fixed600_seed-1.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1442.csv,,h0,7.0,False,76,1.0,642.3,149.7,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-7\pdr_log_0805_1442_traj_none-manual_android-walking_pf-fixed600_seed-7.csv,,,,,
B_fixed,固定粒子数PF,7.2,main,pdr_log_0805_1442.csv,,h0,42.0,False,76,3.0,602.9,197.2,C:\Users\satos\i22satou\pdr_program\results\20260924_120622_evaluation_0805check_recovery\runs\B_fixed\seed-42\pdr_log_0805_1442_traj_none-manual_android-walking_pf-fixed600_seed-42.csv,,,,,
