method_key,file,方式,n,全滅回数 平均±標準偏差,extinctions_mean,extinctions_std,最終位置x[px] 平均±標準偏差,final_x_mean,final_x_std,最終位置y[px] 平均±標準偏差,final_y_mean,final_y_std
A_pdr,pdr_log_0805_1438.csv,PDRのみ,1,,,,-31.5,-31.5199,,586.3,586.2963,
A_pdr,pdr_log_0805_1441.csv,PDRのみ,1,,,,607.0,606.9767,,31.2,31.2169,
A_pdr,pdr_log_0805_1442.csv,PDRのみ,1,,,,671.6,671.6053,,196.0,195.9814,
B_fixed,pdr_log_0805_1438.csv,固定粒子数PF,6,10.0 ± 1.4,10.0000,1.4142,36.2 ± 1.2,36.1667,1.1911,311.0 ± 2.8,310.9833,2.8358
B_fixed,pdr_log_0805_1441.csv,固定粒子数PF,6,0.0 ± 0.0,0.0000,0.0000,608.3 ± 14.3,608.3167,14.3080,63.3 ± 21.5,63.3167,21.5308
B_fixed,pdr_log_0805_1442.csv,固定粒子数PF,6,2.7 ± 2.8,2.6667,2.8048,593.0 ± 71.2,592.9833,71.2132,177.2 ± 36.9,177.1667,36.9130
C_adaptive,pdr_log_0805_1438.csv,移動様態適応PF,6,11.0 ± 0.6,11.0000,0.6325,35.7 ± 2.0,35.6667,2.0334,309.1 ± 2.2,309.1000,2.1587
C_adaptive,pdr_log_0805_1441.csv,移動様態適応PF,6,0.0 ± 0.0,0.0000,0.0000,610.6 ± 4.4,610.6333,4.4352,51.2 ± 2.7,51.1833,2.7073
C_adaptive,pdr_log_0805_1442.csv,移動様態適応PF,6,1.5 ± 0.8,1.5000,0.8367,655.8 ± 13.7,655.7667,13.6807,159.3 ± 19.1,159.2833,19.0804
E_proposed,pdr_log_0805_1438.csv,提案方式,6,5.2 ± 0.4,5.1667,0.4082,35.4 ± 2.0,35.3667,2.0136,237.6 ± 1.3,237.5833,1.3075
E_proposed,pdr_log_0805_1441.csv,提案方式,6,2.2 ± 0.4,2.1667,0.4082,622.0 ± 16.5,622.0000,16.4894,107.7 ± 1.5,107.7333,1.4922
E_proposed,pdr_log_0805_1442.csv,提案方式,6,0.2 ± 0.4,0.1667,0.4082,657.4 ± 14.1,657.3500,14.0980,127.5 ± 11.1,127.4833,11.1281
E_mh,pdr_log_0805_1438.csv,提案方式+複数経路仮説,6,0.0 ± 0.0,0.0000,0.0000,62.9 ± 12.0,62.9000,12.0092,228.0 ± 6.4,228.0500,6.3736
E_mh,pdr_log_0805_1441.csv,提案方式+複数経路仮説,6,0.0 ± 0.0,0.0000,0.0000,603.9 ± 45.7,603.9167,45.7450,106.8 ± 2.2,106.8000,2.1936
E_mh,pdr_log_0805_1442.csv,提案方式+複数経路仮説,6,0.0 ± 0.0,0.0000,0.0000,605.3 ± 35.9,605.2667,35.9483,136.7 ± 7.2,136.7000,7.1724
E_mh_bl,pdr_log_0805_1438.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,0.7 ± 0.5,0.6667,0.5164,58.1 ± 5.2,58.1333,5.2195,232.0 ± 3.1,232.0167,3.1250
E_mh_bl,pdr_log_0805_1441.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,0.0 ± 0.0,0.0000,0.0000,639.5 ± 4.7,639.5333,4.7412,109.7 ± 5.7,109.6667,5.6684
E_mh_bl,pdr_log_0805_1442.csv,提案方式+複数経路仮説+分岐選別尤度(σ=90度),6,0.0 ± 0.0,0.0000,0.0000,672.1 ± 7.8,672.1500,7.8258,122.0 ± 1.1,122.0167,1.1125
E_rooms,pdr_log_0805_1438.csv,提案方式+広い部屋の除外,6,5.2 ± 0.4,5.1667,0.4082,35.4 ± 2.0,35.3667,2.0136,237.6 ± 1.3,237.5833,1.3075
E_rooms,pdr_log_0805_1441.csv,提案方式+広い部屋の除外,6,2.2 ± 0.4,2.1667,0.4082,622.0 ± 16.5,622.0000,16.4894,107.7 ± 1.5,107.7333,1.4922
E_rooms,pdr_log_0805_1442.csv,提案方式+広い部屋の除外,6,0.3 ± 0.8,0.3333,0.8165,653.8 ± 10.8,653.8167,10.7923,114.3 ± 0.7,114.3000,0.7430
E_rooms_centerline,pdr_log_0805_1438.csv,提案方式+広い部屋の除外+中心線,6,13.5 ± 0.5,13.5000,0.5477,400.7 ± 1.8,400.7333,1.7648,107.2 ± 1.7,107.2333,1.7037
E_rooms_centerline,pdr_log_0805_1441.csv,提案方式+広い部屋の除外+中心線,6,6.7 ± 0.5,6.6667,0.5164,511.7 ± 7.0,511.6667,7.0079,109.0 ± 0.8,109.0500,0.7994
E_rooms_centerline,pdr_log_0805_1442.csv,提案方式+広い部屋の除外+中心線,6,4.2 ± 0.4,4.1667,0.4082,598.0 ± 18.8,598.0333,18.8093,108.8 ± 0.8,108.8333,0.8335
