seed,condition,file,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
1,none,pdr_log_0805_1438.csv,197,16,0.491,1.0,251.0,108.6,305.4,310.3,494.6
1,none,pdr_log_0805_1441.csv,143,16,0.361,1.0,167.4,83.2,340.2,138.5,459.8
1,none,pdr_log_0805_1442.csv,131,2,0.745,1.0,355.9,190.1,792.7,174.6,7.2999999999999545
1,manual-enforce,pdr_log_0805_1438.csv,197,12,0.412,0.989,204.7,36.7,588.2,106.8,211.79999999999995
1,manual-enforce,pdr_log_0805_1441.csv,143,15,0.379,0.902,166.1,38.8,425.9,109.5,374.1
1,manual-enforce,pdr_log_0805_1442.csv,131,11,0.476,0.981,215.3,45.7,634.2,107.2,165.79999999999995
1,auto-enforce,pdr_log_0805_1438.csv,197,24,0.393,0.624,200.8,62.1,304.8,237.5,495.2
1,auto-enforce,pdr_log_0805_1441.csv,143,20,0.23,0.4,96.3,60.4,325.1,224.7,474.9
1,auto-enforce,pdr_log_0805_1442.csv,131,3,0.633,0.721,292.4,83.1,732.2,124.4,67.79999999999995
1,auto-enforce-unc,pdr_log_0805_1438.csv,197,23,0.385,0.631,203.9,52.8,347.8,235.9,452.2
1,auto-enforce-unc,pdr_log_0805_1441.csv,143,20,0.258,0.423,130.3,58.7,290.2,223.4,509.8
1,auto-enforce-unc,pdr_log_0805_1442.csv,131,2,0.699,0.784,284.7,83.6,735.5,118.0,64.5
7,none,pdr_log_0805_1438.csv,197,16,0.483,1.0,248.3,96.5,305.0,312.5,495.0
7,none,pdr_log_0805_1441.csv,143,16,0.356,1.0,162.4,79.5,328.5,137.4,471.5
7,none,pdr_log_0805_1442.csv,131,7,0.611,1.0,286.4,90.5,663.1,198.5,136.89999999999998
7,manual-enforce,pdr_log_0805_1438.csv,197,11,0.4,0.991,198.9,36.0,540.1,107.8,259.9
7,manual-enforce,pdr_log_0805_1441.csv,143,14,0.404,0.91,180.7,35.6,439.2,109.4,360.8
7,manual-enforce,pdr_log_0805_1442.csv,131,9,0.471,0.961,211.6,47.9,584.9,107.1,215.10000000000002
7,auto-enforce,pdr_log_0805_1438.csv,197,24,0.369,0.609,187.7,58.1,290.7,238.8,509.3
7,auto-enforce,pdr_log_0805_1441.csv,143,20,0.286,0.453,127.4,56.8,458.9,105.3,341.1
7,auto-enforce,pdr_log_0805_1442.csv,131,3,0.638,0.727,295.5,97.5,731.2,123.1,68.79999999999995
7,auto-enforce-unc,pdr_log_0805_1438.csv,197,23,0.381,0.62,200.5,68.0,334.3,241.3,465.7
7,auto-enforce-unc,pdr_log_0805_1441.csv,143,19,0.221,0.387,115.9,45.3,306.4,223.4,493.6
7,auto-enforce-unc,pdr_log_0805_1442.csv,131,2,0.675,0.758,278.4,57.4,732.2,114.1,67.79999999999995
42,none,pdr_log_0805_1438.csv,197,15,0.501,1.0,256.6,96.1,252.9,311.5,547.1
42,none,pdr_log_0805_1441.csv,143,16,0.334,1.0,152.1,71.9,291.0,138.0,509.0
42,none,pdr_log_0805_1442.csv,131,14,0.445,1.0,206.4,80.5,484.8,262.7,315.2
