# sensitivity_uncertainty_particles.py の出力(スモークテスト、seed=42のみ)。不確実性適応粒子数の4パラメータ(neff_low_ratio/neff_high_ratio/boost_factor/shrink_factor)をベースラインから1つずつ振るOFAT感度分析、15パラメータ組×1シード=45行。本番実行前の動作確認用(本番は20260816_110418_uncertainty_sensitivity.csv)。
combo,seed,file,neff_low_ratio,neff_high_ratio,boost_factor,shrink_factor,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
baseline,42,pdr_log_0805_1438.csv,0.3,0.6,1.5,0.75,197,22,0.377,0.615,197.4,57.7,360.3,237.0,439.7
baseline,42,pdr_log_0805_1441.csv,0.3,0.6,1.5,0.75,143,18,0.315,0.455,145.5,67.8,455.2,108.8,344.8
baseline,42,pdr_log_0805_1442.csv,0.3,0.6,1.5,0.75,131,2,0.682,0.759,280.1,58.6,731.7,115.7,68.29999999999995
neff_low_ratio=0.15,42,pdr_log_0805_1438.csv,0.15,0.6,1.5,0.75,197,23,0.382,0.632,192.8,61.7,289.0,240.7,511.0
neff_low_ratio=0.15,42,pdr_log_0805_1441.csv,0.15,0.6,1.5,0.75,143,21,0.27,0.432,126.6,54.2,322.4,223.8,477.6
neff_low_ratio=0.15,42,pdr_log_0805_1442.csv,0.15,0.6,1.5,0.75,131,3,0.672,0.753,263.9,106.7,737.1,117.4,62.89999999999998
neff_low_ratio=0.2,42,pdr_log_0805_1438.csv,0.2,0.6,1.5,0.75,197,23,0.379,0.628,192.1,67.5,345.6,240.4,454.4
neff_low_ratio=0.2,42,pdr_log_0805_1441.csv,0.2,0.6,1.5,0.75,143,19,0.318,0.453,142.7,53.6,487.2,109.1,312.8
neff_low_ratio=0.2,42,pdr_log_0805_1442.csv,0.2,0.6,1.5,0.75,131,3,0.654,0.733,262.2,75.5,729.3,114.4,70.70000000000005
neff_low_ratio=0.4,42,pdr_log_0805_1438.csv,0.4,0.6,1.5,0.75,197,24,0.394,0.637,217.5,69.3,293.9,235.0,506.1
neff_low_ratio=0.4,42,pdr_log_0805_1441.csv,0.4,0.6,1.5,0.75,143,21,0.258,0.423,144.4,61.0,235.0,225.5,565.0
neff_low_ratio=0.4,42,pdr_log_0805_1442.csv,0.4,0.6,1.5,0.75,131,2,0.673,0.762,287.7,60.1,728.8,115.5,71.20000000000005
neff_low_ratio=0.45,42,pdr_log_0805_1438.csv,0.45,0.6,1.5,0.75,197,23,0.362,0.609,217.8,49.4,341.4,238.2,458.6
neff_low_ratio=0.45,42,pdr_log_0805_1441.csv,0.45,0.6,1.5,0.75,143,19,0.244,0.407,142.5,46.1,275.3,222.5,524.7
neff_low_ratio=0.45,42,pdr_log_0805_1442.csv,0.45,0.6,1.5,0.75,131,2,0.666,0.754,297.8,35.5,729.5,115.2,70.5
neff_high_ratio=0.45,42,pdr_log_0805_1438.csv,0.3,0.45,1.5,0.75,197,24,0.393,0.63,191.9,65.5,292.6,236.8,507.4
neff_high_ratio=0.45,42,pdr_log_0805_1441.csv,0.3,0.45,1.5,0.75,143,20,0.239,0.395,124.1,56.5,275.1,225.0,524.9
neff_high_ratio=0.45,42,pdr_log_0805_1442.csv,0.3,0.45,1.5,0.75,131,3,0.63,0.716,247.5,94.9,730.5,130.8,69.5
neff_high_ratio=0.5,42,pdr_log_0805_1438.csv,0.3,0.5,1.5,0.75,197,23,0.374,0.625,195.3,55.2,317.4,238.0,482.6
neff_high_ratio=0.5,42,pdr_log_0805_1441.csv,0.3,0.5,1.5,0.75,143,19,0.223,0.387,120.0,54.5,266.9,222.5,533.1
neff_high_ratio=0.5,42,pdr_log_0805_1442.csv,0.3,0.5,1.5,0.75,131,2,0.631,0.721,255.6,60.4,733.6,120.7,66.39999999999998
neff_high_ratio=0.7,42,pdr_log_0805_1438.csv,0.3,0.7,1.5,0.75,197,22,0.365,0.614,195.8,61.9,315.0,238.2,485.0
neff_high_ratio=0.7,42,pdr_log_0805_1441.csv,0.3,0.7,1.5,0.75,143,19,0.228,0.39,119.4,46.5,306.2,222.8,493.8
neff_high_ratio=0.7,42,pdr_log_0805_1442.csv,0.3,0.7,1.5,0.75,131,2,0.686,0.772,287.7,41.2,729.0,114.6,71.0
neff_high_ratio=0.75,42,pdr_log_0805_1438.csv,0.3,0.75,1.5,0.75,197,22,0.364,0.616,200.1,55.7,364.8,240.9,435.2
neff_high_ratio=0.75,42,pdr_log_0805_1441.csv,0.3,0.75,1.5,0.75,143,20,0.274,0.454,145.1,59.2,317.9,222.1,482.1
