# sensitivity_uncertainty_particles.py の出力(本番、6シード)。不確実性適応粒子数の4パラメータのOFAT感度分析、15パラメータ組×seed={1,7,42,100,777,2024}×3ファイル=270行。結論: いずれの軸もベースライン(0.30/0.60/1.5/0.75)を明確に上回らず、初期値は妥当と確認(memo/uncertainty_particles.md、CLAUDE_MEMO.txt §8.2参照)。
combo,seed,file,neff_low_ratio,neff_high_ratio,boost_factor,shrink_factor,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
baseline,1,pdr_log_0805_1438.csv,0.3,0.6,1.5,0.75,197,23,0.385,0.631,203.9,52.8,347.8,235.9,452.2
baseline,1,pdr_log_0805_1441.csv,0.3,0.6,1.5,0.75,143,20,0.258,0.423,130.3,58.7,290.2,223.4,509.8
baseline,1,pdr_log_0805_1442.csv,0.3,0.6,1.5,0.75,131,2,0.699,0.784,284.7,83.6,735.5,118.0,64.5
baseline,7,pdr_log_0805_1438.csv,0.3,0.6,1.5,0.75,197,23,0.381,0.62,200.5,68.0,334.3,241.3,465.7
baseline,7,pdr_log_0805_1441.csv,0.3,0.6,1.5,0.75,143,19,0.221,0.387,115.9,45.3,306.4,223.4,493.6
baseline,7,pdr_log_0805_1442.csv,0.3,0.6,1.5,0.75,131,2,0.675,0.758,278.4,57.4,732.2,114.1,67.79999999999995
baseline,42,pdr_log_0805_1438.csv,0.3,0.6,1.5,0.75,197,22,0.377,0.615,197.4,57.7,360.3,237.0,439.7
baseline,42,pdr_log_0805_1441.csv,0.3,0.6,1.5,0.75,143,18,0.315,0.455,145.5,67.8,455.2,108.8,344.8
baseline,42,pdr_log_0805_1442.csv,0.3,0.6,1.5,0.75,131,2,0.682,0.759,280.1,58.6,731.7,115.7,68.29999999999995
baseline,100,pdr_log_0805_1438.csv,0.3,0.6,1.5,0.75,197,23,0.375,0.615,202.0,56.7,299.3,238.2,500.7
baseline,100,pdr_log_0805_1441.csv,0.3,0.6,1.5,0.75,143,19,0.249,0.417,126.0,58.2,334.8,223.7,465.2
