seed,condition,file,steps,extinctions,valid_ratio,route_ratio,neff_mean,pos_spread_mean,final_x,final_y,endpoint_error_x
42,none,pdr_log_0805_1438.csv,197,15,0.501,1.0,256.6,96.1,252.9,311.5,547.1
42,none,pdr_log_0805_1441.csv,143,16,0.334,1.0,152.1,71.9,291.0,138.0,509.0
42,none,pdr_log_0805_1442.csv,131,14,0.445,1.0,206.4,80.5,484.8,262.7,315.2
42,manual-enforce,pdr_log_0805_1438.csv,197,12,0.407,0.987,201.1,39.0,504.3,106.7,295.7
42,manual-enforce,pdr_log_0805_1441.csv,143,14,0.394,0.865,169.0,35.2,417.5,109.5,382.5
42,manual-enforce,pdr_log_0805_1442.csv,131,9,0.474,0.979,213.1,46.0,671.4,107.1,128.60000000000002
42,auto-enforce,pdr_log_0805_1438.csv,197,24,0.385,0.629,196.5,57.5,328.6,235.6,471.4
42,auto-enforce,pdr_log_0805_1441.csv,143,20,0.252,0.418,110.4,51.7,294.4,222.4,505.6
42,auto-enforce,pdr_log_0805_1442.csv,131,3,0.622,0.708,286.9,89.2,741.2,126.2,58.799999999999955
42,auto-enforce-unc,pdr_log_0805_1438.csv,197,22,0.377,0.615,197.4,57.7,360.3,237.0,439.7
42,auto-enforce-unc,pdr_log_0805_1441.csv,143,18,0.315,0.455,145.5,67.8,455.2,108.8,344.8
42,auto-enforce-unc,pdr_log_0805_1442.csv,131,2,0.682,0.759,280.1,58.6,731.7,115.7,68.29999999999995
